ID,名称,副标题,分类ID,价格,原价,库存,图片,上架,销量
6001,无线蓝牙耳机,高清音质 长续航,5,199.00,299.00,150,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpods/1.webp,是,320
6002,智能手表 Pro,健康监测 运动伴侣,26,599.00,899.00,80,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-watch-series-4-gold/1.webp,是,215
6003,机械键盘 RGB,青轴手感 炫彩灯效,2,349.00,499.00,200,https://cdn.dummyjson.com/product-images/laptops/asus-rog-strix-g16/1.webp,是,178
6004,4K超清显示器,27英寸 IPS HDR,2,1899.00,2499.00,45,https://cdn.dummyjson.com/product-images/laptops/macbook-pro-14/1.webp,是,92
6005,便携充电宝,20000mAh 快充版,8,89.00,129.00,500,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-magsafe-battery-pack/1.webp,是,680
6006,无线鼠标,静音办公 人体工学,2,79.00,119.00,300,https://cdn.dummyjson.com/product-images/laptops/dell-xps-15/1.webp,是,445
6007,运动水壶,Tritan材质 防漏设计,20,49.00,69.00,600,https://cdn.dummyjson.com/product-images/skin-care/cerave-moisturizing-cream/1.webp,是,890
6008,双肩背包,商务通勤 防水面料,23,259.00,399.00,120,https://cdn.dummyjson.com/product-images/sunglasses/aviator-sunglasses/1.webp,是,156
6009,桌面台灯,护眼LED 三档调光,11,129.00,179.00,180,https://cdn.dummyjson.com/product-images/home-decoration/table-lamp/1.webp,是,267
6010,手机支架,车载磁吸 360度旋转,8,39.00,59.00,800,https://cdn.dummyjson.com/product-images/mobile-accessories/selfie-stick-monopod/1.webp,是,1200
